V1,V2,V3
-125.643995510662,49.3833101529903,396.920043945312
-125.627272727273,49.3833101529903,383.000030517578
-125.610549943883,49.3833101529903,378.450042724609
-125.593827160494,49.3833101529903,522.859985351562
-125.577104377104,49.3833101529903,800.280029296875
-125.560381593715,49.3833101529903,934.849975585938
-125.543658810325,49.3833101529903,1162.23999023438
-125.526936026936,49.3833101529903,797.010009765625
-125.510213243547,49.3833101529903,651.119995117188
-125.493490460157,49.3833101529903,423.360015869141
-125.476767676768,49.3833101529903,401.160003662109
-125.460044893378,49.3833101529903,284.696807861328
-125.443322109989,49.3833101529903,456.696807861328
-125.426599326599,49.3833101529903,451.476806640625
-125.40987654321,49.3833101529903,264.166809082031
-125.39315375982,49.3833101529903,110.866821289062
-125.376430976431,49.3833101529903,219.216827392578
-125.359708193042,49.3833101529903,307.996826171875
-125.342985409652,49.3833101529903,385.576812744141
-125.326262626263,49.3833101529903,331.931915283203
-125.309539842873,49.3833101529903,270.131896972656
-125.292817059484,49.3833101529903,328.94189453125
-125.276094276094,49.3833101529903,520.911926269531
-125.259371492705,49.3833101529903,515.551879882812
-125.242648709315,49.3833101529903,236.701904296875
-125.225925925926,49.3833101529903,127.151901245117
-125.209203142536,49.3833101529903,104.511901855469
-125.192480359147,49.3833101529903,118.318069458008
-125.175757575758,49.3833101529903,205.85807800293
-125.159034792368,49.3833101529903,290.778076171875
-125.142312008979,49.3833101529903,120.968070983887
-125.125589225589,49.3833101529903,222.35807800293
-125.1088664422,49.3833101529903,630.5380859375
-125.09214365881,49.3833101529903,759.068054199219
-125.075420875421,49.3833101529903,621.738098144531
-125.058698092031,49.3833101529903,392.188781738281
-125.041975308642,49.3833101529903,203.618789672852
-125.025252525253,49.3833101529903,137.298782348633
-125.008529741863,49.3833101529903,141.5087890625
-124.991806958474,49.3833101529903,96.388786315918
-124.975084175084,49.3833101529903,92.1687927246094
-124.958361391695,49.3833101529903,97.7587890625
-124.941638608305,49.3833101529903,110.078788757324
-124.924915824916,49.3833101529903,167.739105224609
-124.908193041526,49.3833101529903,604.8291015625
-124.891470258137,49.3833101529903,1171.76904296875
-124.874747474747,49.3833101529903,1270.70910644531
-124.858024691358,49.3833101529903,1098.75915527344
-124.841301907969,49.3833101529903,942.369079589844
-124.824579124579,49.3833101529903,724.679077148438
-124.80785634119,49.3833101529903,345.429107666016
-124.7911335578,49.3833101529903,543.712524414062
-124.774410774411,49.3833101529903,698.532470703125
-124.757687991021,49.3833101529903,774.662475585938
-124.740965207632,49.3833101529903,755.132507324219
-124.724242424242,49.3833101529903,704.452514648438
-124.707519640853,49.3833101529903,414.232513427734
-124.690796857464,49.3833101529903,219.172500610352
-124.674074074074,49.3833101529903,93.4024963378906
-124.657351290685,49.3833101529903,76.5
-124.640628507295,49.3833101529903,85.5299987792969
-124.623905723906,49.3833101529903,95.8300018310547
-124.607182940516,49.3833101529903,78.0800018310547
-124.590460157127,49.3833101529903,60.439998626709
-124.573737373737,49.3833101529903,65.9599990844727
-124.557014590348,49.3833101529903,61.6300010681152
-124.540291806958,49.3833101529903,49.9099998474121
-124.523569023569,49.3833101529903,19.8649997711182
-124.50684624018,49.3833101529903,-30.4349994659424
-124.49012345679,49.3833101529903,-53.3349990844727
-124.473400673401,49.3833101529903,-58.435001373291
-124.456677890011,49.3833101529903,-78.6849975585938
-124.439955106622,49.3833101529903,-96.3150024414062
-124.423232323232,49.3833101529903,-111.934997558594
-124.406509539843,49.3833101529903,-111.315002441406
-124.389786756453,49.3833101529903,-99.375
-124.373063973064,49.3833101529903,-80.3150024414062
-124.356341189675,49.3833101529903,-87.9349975585938
-124.339618406285,49.3833101529903,-136.125
-124.322895622896,49.3833101529903,-198.125
-124.306172839506,49.3833101529903,-248.494995117188
-124.289450056117,49.3833101529903,-283.744995117188
-124.272727272727,49.3833101529903,-301.434997558594
-124.256004489338,49.3833101529903,-312.502502441406
-124.239281705948,49.3833101529903,-323.5625
-124.222558922559,49.3833101529903,-321.932495117188
-124.205836139169,49.3833101529903,-324.252502441406
-124.18911335578,49.3833101529903,-336.122497558594
-124.172390572391,49.3833101529903,-333.682495117188
-124.155667789001,49.3833101529903,-336.252502441406
-124.138945005612,49.3833101529903,-298.002502441406
-124.122222222222,49.3833101529903,-266.434997558594
-124.105499438833,49.3833101529903,-252.244995117188
-124.088776655443,49.3833101529903,-245.184997558594
-124.072053872054,49.3833101529903,-242.744995117188
-124.055331088664,49.3833101529903,-232.434997558594
-124.038608305275,49.3833101529903,-223.934997558594
-124.021885521886,49.3833101529903,-234.744995117188
-124.005162738496,49.3833101529903,-259.565002441406
-123.988439955107,49.3833101529903,-319.25
-123.971717171717,49.3833101529903,-362.369995117188
-123.954994388328,49.3833101529903,-388.190002441406
-123.938271604938,49.3833101529903,-398.869995117188
-123.921548821549,49.3833101529903,-397.5
-123.904826038159,49.3833101529903,-338.369995117188
-123.88810325477,49.3833101529903,-234.619995117188
-123.87138047138,49.3833101529903,-326.5
-123.854657687991,49.3833101529903,-330.807495117188
-123.837934904602,49.3833101529903,-265.877502441406
-123.821212121212,49.3833101529903,-215.747497558594
-123.804489337823,49.3833101529903,-188.127502441406
-123.787766554433,49.3833101529903,-190.9375
-123.771043771044,49.3833101529903,-174.127502441406
-123.754320987654,49.3833101529903,-161.1875
-123.737598204265,49.3833101529903,-138.807495117188
-123.720875420875,49.3833101529903,-121.184997558594
-123.704152637486,49.3833101529903,-123.125
-123.687429854097,49.3833101529903,-130.625
-123.670707070707,49.3833101529903,-146.684997558594
-123.653984287318,49.3833101529903,-153.315002441406
-123.637261503928,49.3833101529903,-165.184997558594
-123.620538720539,49.3833101529903,-167.744995117188
-123.603815937149,49.3833101529903,-169.125
-123.58709315376,49.3833101529903,-163.8125
-123.57037037037,49.3833101529903,-145.682495117188
-123.553647586981,49.3833101529903,-102.622497558594
-123.536924803591,49.3833101529903,-49.0625
-123.520202020202,49.3833101529903,-60.0625
-123.503479236813,49.3833101529903,-84.5025024414062
-123.486756453423,49.3833101529903,-84.5625
-123.470033670034,49.3833101529903,-59.5924987792969
-123.453310886644,49.3833101529903,-42.2900009155273
-123.436588103255,49.3833101529903,-75.8199996948242
-123.419865319865,49.3833101529903,-32.1699981689453
-123.403142536476,49.3833101529903,200.119995117188
-123.386419753086,49.3833101529903,509.869995117188
-123.369696969697,49.3833101529903,227.229995727539
-123.352974186308,49.3833101529903,141.679992675781
-123.336251402918,49.3833101529903,150.270004272461
-123.319528619529,49.3833101529903,-16.0499992370605
-123.302805836139,49.3833101529903,-229.190002441406
